ID,DeliveryDate,Revenue
550e8400-e29b-41d4-a716-446655440100,2024-01-15T00:00:00Z,15000.00
550e8400-e29b-41d4-a716-446655440101,2024-02-01T00:00:00Z,18500.50
550e8400-e29b-41d4-a716-446655440102,2024-03-10T00:00:00Z,22000.75
550e8400-e29b-41d4-a716-446655440103,2024-04-05T00:00:00Z,19999.99
550e8400-e29b-41d4-a716-446655440104,2024-05-20T00:00:00Z,25000.00
550e8400-e29b-41d4-a716-446655440105,2024-06-18T00:00:00Z,27500.35
550e8400-e29b-41d4-a716-446655440106,2024-07-22T00:00:00Z,31000.80
550e8400-e29b-41d4-a716-446655440107,2024-08-30T00:00:00Z,28900.45
550e8400-e29b-41d4-a716-446655440108,2024-09-15T00:00:00Z,33000.90
550e8400-e29b-41d4-a716-446655440109,2024-10-10T00:00:00Z,35500.00
